id	crohnall.yes	crohnall.no	commensal.yes	commensal.no	pvalues	pvalues.adj	pvalues.adj.bh
OG0007552:___Glucitol/sorbitol_permease_IIC_component	1	26	1	23	1	1	1
OG0006154:___hypothetical_protein	1	26	4	20	0.174595795765115	1	1
OG0010243:___hypothetical_protein	1	26	0	24	1	1	1
OG0000567:___Sensor_protein_TorS	27	0	24	0	1	1	1
OG0001363:___Inner_membrane_ABC_transporter_permease_protein_YdcV	27	0	24	0	1	1	1
OG0002134:___LOG_family_protein_YgdH	27	0	24	0	1	1	1
OG0003824:___Putative_type_II_secretion_system_protein_K	23	4	13	11	0.0294376790195089	1	1
OG0002920:___Formate-dependent_nitrite_reductase_complex_subunit_NrfG	27	0	24	0	1	1	1
OG0003513:___Phage_tail_protein_E	18	9	14	10	0.574500730371405	1	1
OG0007116:___Low-affinity_inorganic_phosphate_transporter_1	1	26	2	22	0.595486194477791	1	1
OG0001453:___Enoyl-[acyl-carrier-protein]_reductase_[NADH]_FabI	27	0	24	0	1	1	1
OG0008773:___4-amino-4-deoxy-L-arabinose-phosphoundecaprenol_flippase_subunit_ArnE	0	27	1	23	0.470588235294118	1	1
OG0011842:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0001355:___Beta-hexosaminidase	27	0	24	0	1	1	1
OG0002007:___enhanced_serine_sensitivity_protein_SseB	27	0	24	0	1	1	1
OG0002014:___HTH-type_transcriptional_regulator_IscR	27	0	24	0	1	1	1
OG0010027:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0007244:___hypothetical_protein	2	25	1	23	1	1	1
OG0003523:___hypothetical_protein	25	2	23	1	1	1	1
OG0000843:___Hypoxanthine_phosphoribosyltransferase	27	0	24	0	1	1	1
OG0011185:___Inner_membrane_ABC_transporter_permease_protein_YejE	1	26	0	24	1	1	1
OG0005755:___hypothetical_protein	4	23	3	21	1	1	1
OG0009267:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0004326:___Aldose_1-epimerase	9	18	14	10	0.0951998621803338	1	1
OG0002900:___hypothetical_protein	27	0	24	0	1	1	1
OG0004497:___hypothetical_protein	14	13	6	18	0.0839920825680109	1	1
OG0000804:___Acetolactate_synthase_isozyme_3_small_subunit	27	0	24	0	1	1	1
OG0005505:___hypothetical_protein	4	23	3	21	1	1	1
OG0004301:___Baseplate_J-like_protein	11	16	10	14	1	1	1
OG0006030:___hypothetical_protein	3	24	2	22	1	1	1
OG0003857:___hypothetical_protein	15	12	11	13	0.579329383518258	1	1
OG0010402:___hypothetical_protein	1	26	0	24	1	1	1
OG0002381:___Putative_sialic_acid_transporter	27	0	24	0	1	1	1
OG0003062:___putative_ABC_transporter_ATP-binding_protein_YjjK	27	0	24	0	1	1	1
OG0002028:___Transcriptional_regulatory_protein_QseF	27	0	24	0	1	1	1
OG0009372:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0007954:___Methionine_aminotransferase	0	27	2	22	0.216470588235294	1	1
OG0000983:___ComE_operon_protein_1	27	0	24	0	1	1	1
OG0006682:___putative_UDP-N-acetyl-D-mannosaminuronic_acid_transferase	4	23	0	24	0.112749099639856	1	1
OG0011322:___hypothetical_protein	1	26	0	24	1	1	1
OG0005422:___hypothetical_protein	5	22	3	21	0.707133917396746	1	1
OG0003745:___Transposase,_TnpA_family	11	16	7	17	0.557982654954693	1	1
OG0010693:___hypothetical_protein	1	26	0	24	1	1	1
OG0003646:___hypothetical_protein	23	4	23	1	0.35390156062425	1	1
OG0010370:___hypothetical_protein	1	26	0	24	1	1	1
OG0005880:___50S_ribosomal_protein_L22/unknown_domain_fusion_protein	4	23	2	22	0.671272764424919	1	1
OG0003124:___hypothetical_protein	26	1	24	0	1	1	1
OG0008510:___Lipid_A_biosynthesis_lauroyl_acyltransferase	2	25	0	24	0.491764705882353	1	1
OG0003922:___Pap_fimbrial_major_pilin_protein_precursor	12	15	10	14	1	1	1
OG0011091:___hypothetical_protein	1	26	0	24	1	1	1
OG0008367:___Amino-acid_carrier_protein_AlsT	2	25	0	24	0.491764705882353	1	1
OG0011205:___hypothetical_protein	1	26	0	24	1	1	1
OG0005914:___putative_mercury_resistance_protein	4	23	2	22	0.671272764424919	1	1
OG0007863:___hypothetical_protein	1	26	1	23	1	1	1
OG0007987:___Inner_membrane_metabolite_transport_protein_YgcS	1	26	1	23	1	1	1
OG0008197:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0002318:___N-acetylglucosamine-6-phosphate_deacetylase	26	1	24	0	1	1	1
OG0007874:___hypothetical_protein	0	27	2	22	0.216470588235294	1	1
OG0010817:___hypothetical_protein	1	26	0	24	1	1	1
OG0011500:___hypothetical_protein	1	26	0	24	1	1	1
OG0005457:___Acylamidase	4	23	5	19	0.718031260005239	1	1
OG0008929:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0010714:___hypothetical_protein	1	26	0	24	1	1	1
OG0009078:___L-ribulose-5-phosphate_4-epimerase_SgbE	0	27	1	23	0.470588235294118	1	1
OG0008539:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0009948:___Transport_of_quorum-sensing_signal_protein	0	27	1	23	0.470588235294118	1	1
OG0004534:___hypothetical_protein	11	16	7	17	0.557982654954693	1	1
OG0004541:___Colicin-Ia	7	20	6	18	1	1	1
OG0002735:___4-alpha-L-fucosyltransferase	27	0	24	0	1	1	1
OG0003856:___Conjugative_relaxosome_accessory_transposon_protein	13	14	16	8	0.258841420557446	1	1
OG0005551:___PTS_system_glucose-specific_EIICBA_component	3	24	5	19	0.450527445020561	1	1
OG0007240:___hypothetical_protein	2	25	1	23	1	1	1
OG0009578:___NADP-specific_glutamate_dehydrogenase	0	27	1	23	0.470588235294118	1	1
OG0007183:___Respiratory_nitrate_reductase_2_alpha_chain	2	25	1	23	1	1	1
OG0009066:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0006973:___hypothetical_protein	0	27	3	21	0.0971908763505402	1	1
OG0002646:___Nucleoid_occlusion_factor_SlmA	27	0	24	0	1	1	1
OG0009761:___Ferric_enterobactin_receptor_precursor	0	27	1	23	0.470588235294118	1	1
OG0003960:___hypothetical_protein	13	14	12	12	1	1	1
OG0009766:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0003979:___hypothetical_protein	15	12	16	8	0.566740865271796	1	1
OG0007335:___hypothetical_protein	3	24	0	24	0.237647058823529	1	1
OG0007440:___PTS_system_maltose-specific_EIICB_component	1	26	1	23	1	1	1
OG0010886:___hypothetical_protein	1	26	0	24	1	1	1
OG0001071:___Citrate_lyase_alpha_chain	27	0	24	0	1	1	1
OG0004279:___hypothetical_protein	12	15	12	12	0.781924352415865	1	1
OG0007672:___tRNA_threonylcarbamoyladenosine_dehydratase	0	27	2	22	0.216470588235294	1	1
OG0007445:___Cytochrome_c-552_precursor	0	27	2	22	0.216470588235294	1	1
OG0009334:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0006943:___hypothetical_protein	1	26	2	22	0.595486194477791	1	1
OG0002052:___lipoprotein	27	0	24	0	1	1	1
OG0002549:___major_facilitator_superfamily_transporter	27	0	24	0	1	1	1
OG0006391:___hydrogenase_4_subunit_F	1	26	3	21	0.331428571428571	1	1
OG0010034:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0007526:___hypothetical_protein	0	27	2	22	0.216470588235294	1	1
OG0001991:___Uracil_phosphoribosyltransferase	27	0	24	0	1	1	1
OG0009662:___Aspartate_carbamoyltransferase_catalytic_chain	0	27	1	23	0.470588235294118	1	1
OG0007057:___hypothetical_protein	2	25	1	23	1	1	1
OG0008332:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0004190:___Arginine_deiminase	15	12	11	13	0.579329383518258	1	1
OG0003488:___hypothetical_protein	26	1	23	1	1	1	1
OG0011329:___hypothetical_protein	1	26	0	24	1	1	1
OG0003587:___Putrescine-ornithine_antiporter	25	2	22	2	1	1	1
OG0010683:___Lysis_protein_S	1	26	0	24	1	1	1
OG0004005:___L-idonate_5-dehydrogenase_(NAD(P)(+))	14	13	14	10	0.77950128966493	1	1
OG0010044:___Ribose_operon_repressor	0	27	1	23	0.470588235294118	1	1
OG0001161:___Inner_membrane_protein_YbhL	27	0	24	0	1	1	1
OG0008113:___hypothetical_protein	1	26	1	23	1	1	1
OG0001756:___6-phosphogluconate_dehydrogenase,_decarboxylating	27	0	24	0	1	1	1
OG0010262:___Arabinose_5-phosphate_isomerase_KpsF	1	26	0	24	1	1	1
OG0008462:___ATP-dependent_zinc_metalloprotease_FtsH_4	2	25	0	24	0.491764705882353	1	1
OG0000358:___Peptide_chain_release_factor_3	27	0	24	0	1	1	1
OG0006250:___hypothetical_protein	2	25	2	22	1	1	1
OG0004643:___Phage_tail_assembly_chaperone	7	20	6	18	1	1	1
OG0003168:___Inner_membrane_protein_YdgC	26	1	24	0	1	1	1
OG0002921:___Proton_glutamate_symport_protein	27	0	24	0	1	1	1
OG0003855:___Aryl-phospho-beta-D-glucosidase_BglA	18	9	16	8	1	1	1
OG0007557:___glucose-6-phosphate_isomerase	1	26	1	23	1	1	1
OG0003811:___hypothetical_protein	13	14	14	10	0.577175549961871	1	1
OG0007788:___IncFII_RepA_protein_family_protein	0	27	2	22	0.216470588235294	1	1
OG0005613:___hypothetical_protein	4	23	3	21	1	1	1
OG0004294:___hypothetical_protein	15	12	8	16	0.160168232189774	1	1
OG0003553:___Glycolate_permease_GlcA	26	1	22	2	0.595486194477791	1	1
OG0007478:___ATP-dependent_RNA_helicase_HrpA	0	27	2	22	0.216470588235294	1	1
OG0003381:___Inner_membrane_protein_YjiY	27	0	23	1	0.470588235294118	1	1
OG0003026:___AAA-like_domain_protein	27	0	24	0	1	1	1
OG0002208:___Twitching_mobility_protein	27	0	24	0	1	1	1
OG0000265:___L-glyceraldehyde_3-phosphate_reductase	27	0	24	0	1	1	1
OG0008134:___hypothetical_protein	1	26	1	23	1	1	1
OG0001574:___Superoxide_dismutase_[Fe]	27	0	24	0	1	1	1
OG0007324:___Transcriptional_repressor_protein_KorB	3	24	0	24	0.237647058823529	1	1
OG0004638:___putative_outer_membrane_usher_protein_ElfC_precursor	5	22	9	15	0.208575351309711	1	1
OG0004968:___Chemotaxis_protein_LafT	8	19	5	19	0.533919598903633	1	1
OG0001297:___HTH-type_transcriptional_regulator_RutR	27	0	24	0	1	1	1
OG0007374:___Primosomal_protein_N'	3	24	0	24	0.237647058823529	1	1
OG0005458:___Multidrug_export_protein_MepA	4	23	5	19	0.718031260005239	1	1
OG0008280:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0000550:___Phosphoglucomutase	27	0	24	0	1	1	1
OG0000207:___DNA_helicase_II	27	0	24	0	1	1	1
OG0002960:___Fumarate_reductase_subunit_C	27	0	24	0	1	1	1
OG0005614:___Nicotinamide_riboside_transporter_PnuC	1	26	6	18	0.0420489898086894	1	1
OG0010936:___Universal_stress_protein_G	1	26	0	24	1	1	1
OG0003463:___Regulatory_protein_YeiL	27	0	22	2	0.216470588235294	1	1
OG0003813:___Capsule_polysaccharide_biosynthesis_protein	23	4	12	12	0.0142236621883259	1	1
OG0000435:___Quinate/shikimate_dehydrogenase	27	0	24	0	1	1	1
OG0003347:___Der_GTPase-activating_protein_YihI	27	0	23	1	0.470588235294118	1	1
OG0004245:___Antitoxin_VapB	9	18	9	15	0.777618602803293	1	1
OG0010279:___hypothetical_protein	1	26	0	24	1	1	1
OG0010513:___hypothetical_protein	1	26	0	24	1	1	1
OG0009673:___tRNA_(cmo5U34)-methyltransferase	0	27	1	23	0.470588235294118	1	1
OG0003481:___L-fucose_mutarotase	26	1	23	1	1	1	1
OG0000703:___Cellulose_synthase_operon_protein_C_precursor	27	0	24	0	1	1	1
OG0004890:___P22_tail_accessory_factor	12	15	2	22	0.00488735869192295	1	1
OG0009734:___Cytolethal_distending_toxin_subunit_A_precursor	0	27	1	23	0.470588235294118	1	1
OG0011070:___Molybdopterin_synthase_catalytic_subunit	1	26	0	24	1	1	1
OG0000366:___HTH-type_transcriptional_regulator_LeuO	27	0	24	0	1	1	1
OG0001938:___Glucokinase	27	0	24	0	1	1	1
OG0010812:___hypothetical_protein	1	26	0	24	1	1	1
OG0011489:___DNA-binding_transcriptional_regulator_DhaR	1	26	0	24	1	1	1
OG0003270:___Glucitol_operon_repressor	27	0	23	1	0.470588235294118	1	1
OG0010607:___hypothetical_protein	1	26	0	24	1	1	1
OG0000047:___Phage_minor_tail_protein_L	24	3	19	5	0.450527445020561	1	1
OG0008399:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0000757:___Transaldolase_B	27	0	24	0	1	1	1
OG0000978:___hypothetical_protein	27	0	24	0	1	1	1
OG0006611:___hypothetical_protein	0	27	4	20	0.0425210084033614	1	1
OG0010222:___Arabinose-proton_symporter	1	26	0	24	1	1	1
OG0004947:___putative_DNA-binding_transcriptional_regulator	8	19	5	19	0.533919598903633	1	1
OG0001897:___Histidine_transport_system_permease_protein_HisQ	27	0	24	0	1	1	1
OG0006447:___hypothetical_protein	3	24	1	23	0.61234093637455	1	1
OG0007125:___Lysophospholipid_transporter_LplT	2	25	1	23	1	1	1
OG0005754:___hypothetical_protein	5	22	2	22	0.424727337743608	1	1
OG0007105:___Trimethylamine-N-oxide_reductase_2_precursor	2	25	1	23	1	1	1
OG0008756:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0005388:___hypothetical_protein	7	20	2	22	0.146504559270517	1	1
OG0008895:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0009072:___Multidrug_resistance_protein_MdtH	0	27	1	23	0.470588235294118	1	1
OG0006745:___Lysine-arginine-ornithine-binding_periplasmic_protein_precursor	4	23	0	24	0.112749099639856	1	1
OG0004015:___hypothetical_protein	10	17	18	6	0.0108102628835858	1	1
OG0000853:___Glutamyl-Q_tRNA(Asp)_synthetase	27	0	24	0	1	1	1
OG0002589:___Oligopeptide_transport_ATP-binding_protein_OppD	27	0	24	0	1	1	1
OG0011077:___hypothetical_protein	1	26	0	24	1	1	1
OG0005822:___Aerotaxis_receptor	4	23	2	22	0.671272764424919	1	1
OG0000179:___hypothetical_protein	27	0	24	0	1	1	1
OG0010735:___hypothetical_protein	1	26	0	24	1	1	1
OG0001666:___putative_NUDIX_hydrolase	27	0	24	0	1	1	1
OG0009746:___Paraquat-inducible_protein_A	0	27	1	23	0.470588235294118	1	1
OG0004660:___Outer_membrane_usher_protein_FimD_precursor	8	19	5	19	0.533919598903633	1	1
OG0009437:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0007350:___hypothetical_protein	3	24	0	24	0.237647058823529	1	1
OG0007496:___hypothetical_protein	1	26	1	23	1	1	1
OG0007384:___Teichuronic_acid_biosynthesis_protein_TuaB	2	25	0	24	0.491764705882353	1	1
OG0003448:___Molecular_chaperone_Hsp31_and_glyoxalase_3	25	2	24	0	0.491764705882353	1	1
OG0009739:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0008268:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0011584:___Replicative_DNA_helicase	1	26	0	24	1	1	1
OG0005994:___putative_transposase	0	27	4	20	0.0425210084033614	1	1
OG0003237:___Ethanolamine_utilization_protein_EutL	26	1	24	0	1	1	1
OG0007020:___Replication_protein	0	27	2	22	0.216470588235294	1	1
OG0010633:___hypothetical_protein	1	26	0	24	1	1	1
OG0006161:___hypothetical_protein	0	27	5	19	0.0180940461290899	1	1
OG0004052:___Gnt-II_system_L-idonate_transporter	14	13	14	10	0.77950128966493	1	1
OG0010698:___hypothetical_protein	1	26	0	24	1	1	1
OG0000996:___Mechanosensitive_channel_MscK_precursor	27	0	24	0	1	1	1
OG0009580:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0003324:___Bacterioferritin	27	0	23	1	0.470588235294118	1	1
OG0004329:___Putative_phosphoethanolamine_transferase_YbiP	7	20	11	13	0.156332610611463	1	1
OG0004667:___hypothetical_protein	12	15	3	21	0.0156992691719524	1	1
OG0007853:___hypothetical_protein	1	26	1	23	1	1	1
OG0003016:___HTH-type_transcriptional_regulator_TreR	27	0	24	0	1	1	1
OG0001368:___Adenylosuccinate_lyase	27	0	24	0	1	1	1
OG0000897:___Methionine_import_ATP-binding_protein_MetN	27	0	23	1	0.470588235294118	1	1
OG0002194:___Arginine_exporter_protein_ArgO	27	0	24	0	1	1	1
OG0009518:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0003165:___Glutaminase_2	27	0	23	1	0.470588235294118	1	1
OG0005688:___IS66_Orf2_like_protein	1	26	6	18	0.0420489898086894	1	1
OG0008463:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0010863:___hypothetical_protein	1	26	0	24	1	1	1
OG0009631:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0007581:___hypothetical_protein	1	26	1	23	1	1	1
OG0004678:___Propanediol_dehydratase_medium_subunit	14	13	3	21	0.00351586615329511	1	1
OG0010672:___hypothetical_protein	1	26	0	24	1	1	1
OG0002034:___Holo-[acyl-carrier-protein]_synthase	27	0	24	0	1	1	1
OG0010470:___hypothetical_protein	1	26	0	24	1	1	1
OG0001110:___LexA_regulated_protein	27	0	24	0	1	1	1
OG0003881:___hypothetical_protein	21	6	12	12	0.046328710047468	1	1
OG0004458:___mRNA_interferase_RelE	8	19	7	17	1	1	1
OG0005715:___putative_Peptidoglycan_domain_protein	2	25	5	19	0.23227248346147	1	1
OG0008995:___Apolipoprotein_N-acyltransferase	0	27	1	23	0.470588235294118	1	1
OG0004932:___hypothetical_protein	9	18	5	19	0.362677508217417	1	1
OG0000322:___hypothetical_protein	27	0	24	0	1	1	1
OG0003746:___hypothetical_protein	17	10	14	10	0.780137155511061	1	1
OG0002909:___UvrABC_system_protein_A	27	0	24	0	1	1	1
OG0005577:___hypothetical_protein	3	24	5	19	0.450527445020561	1	1
OG0010731:___hypothetical_protein	1	26	0	24	1	1	1
OG0011729:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0006547:___Transposon_Tn7_transposition_protein_TnsA	0	27	4	20	0.0425210084033614	1	1
OG0008927:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0001316:___secY/secA_suppressor_protein	27	0	24	0	1	1	1
OG0011248:___TDP-4-oxo-6-deoxy-D-glucose_transaminase	1	26	0	24	1	1	1
OG0002192:___Methylmalonyl-CoA_mutase	27	0	24	0	1	1	1
OG0002843:___Phosphoenolpyruvate_carboxylase	27	0	24	0	1	1	1
OG0006101:___hypothetical_protein	0	27	4	20	0.0425210084033614	1	1
OG0003992:___Ferrichrome-iron_receptor_precursor	21	6	10	14	0.0110535394927329	1	1
OG0006859:___hypothetical_protein	1	26	2	22	0.595486194477791	1	1
OG0010794:___hypothetical_protein	1	26	0	24	1	1	1
OG0004511:___hypothetical_protein	6	21	2	22	0.255283389951725	1	1
OG0004629:___2,3,4,5-tetrahydropyridine-2,6-dicarboxylate_N-acetyltransferase	6	21	11	13	0.135735172440016	1	1
OG0002477:___Siroheme_synthase	27	0	24	0	1	1	1
OG0011652:___esterase	1	26	0	24	1	1	1
OG0010539:___P2_phage_tail_completion_protein_R_(GpR)	1	26	0	24	1	1	1
OG0010225:___hypothetical_protein	1	26	0	24	1	1	1
OG0008646:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0006441:___hypothetical_protein	2	25	2	22	1	1	1
OG0009599:___Phospho-2-dehydro-3-deoxyheptonate_aldolase,_Tyr-sensitive	0	27	1	23	0.470588235294118	1	1
OG0009350:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0004243:___hypothetical_protein	15	12	10	14	0.404330407061853	1	1
OG0009724:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0011207:___hypothetical_protein	1	26	0	24	1	1	1
OG0011343:___Glutathione_transferase_FosA	1	26	0	24	1	1	1
OG0008836:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0010606:___hypothetical_protein	1	26	0	24	1	1	1
OG0000284:___DNA_polymerase_II	27	0	24	0	1	1	1
OG0003648:___hypothetical_protein	19	8	19	5	0.533919598903632	1	1
OG0002100:___Formate_hydrogenlyase_maturation_protein_HycH	27	0	24	0	1	1	1
OG0009395:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0005415:___Putative_2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase_2	3	24	3	21	1	1	1
OG0006993:___hypothetical_protein	1	26	2	22	0.595486194477791	1	1
OG0010932:___hypothetical_protein	1	26	0	24	1	1	1
OG0004518:___hypothetical_protein	10	17	7	17	0.766636805410863	1	1
OG0009032:___UDP-galactopyranose_mutase	0	27	1	23	0.470588235294118	1	1
OG0004077:___Multidrug_resistance_protein_MexB	18	9	11	13	0.16432222004204	1	1
OG0001164:___hypothetical_protein	27	0	24	0	1	1	1
OG0000919:___Glutamate_5-kinase	27	0	24	0	1	1	1
OG0007722:___2-dehydro-3-deoxyphosphooctonate_aldolase	0	27	2	22	0.216470588235294	1	1
OG0004685:___Malate-2H(+)/Na(+)-lactate_antiporter	11	16	5	19	0.145298268733902	1	1
OG0006812:___hypothetical_protein	0	27	3	21	0.0971908763505402	1	1
OG0007518:___hypothetical_protein	0	27	2	22	0.216470588235294	1	1
OG0001861:___2-succinylbenzoate--CoA_ligase	27	0	24	0	1	1	1
OG0002465:___putative_hydrolase	27	0	24	0	1	1	1
OG0002798:___Rhamnulose-1-phosphate_aldolase	27	0	24	0	1	1	1
OG0005536:___hypothetical_protein	5	22	3	21	0.707133917396746	1	1
OG0003932:___hypothetical_protein	15	12	16	8	0.566740865271796	1	1
OG0000106:___Small_toxic_polypeptide_LdrD	23	4	23	1	0.35390156062425	1	1
OG0001050:___MbtH-like_protein	27	0	24	0	1	1	1
OG0004499:___replication_protein	7	20	2	22	0.146504559270517	1	1
OG0003584:___Right_origin-binding_protein	25	2	22	2	1	1	1
OG0010876:___hypothetical_protein	1	26	0	24	1	1	1
OG0006085:___2-acyl-glycerophospho-ethanolamine_acyltransferase	0	27	5	19	0.0180940461290899	1	1
OG0009289:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0001103:___N-acetylglucosamine_repressor	27	0	24	0	1	1	1
OG0007115:___Antitoxin_HigA	0	27	3	21	0.0971908763505402	1	1
OG0001229:___ATP-dependent_Clp_protease_adapter_protein_ClpS	27	0	24	0	1	1	1
OG0004425:___hypothetical_protein	8	19	13	11	0.0937463860267731	1	1
OG0006236:___hypothetical_protein	3	24	2	22	1	1	1
OG0001487:___hypothetical_protein	23	4	16	8	0.186675118992215	1	1
OG0008998:___Pyrroline-5-carboxylate_reductase	0	27	1	23	0.470588235294118	1	1
OG0004051:___Putative_aminopeptidase_YsdC	8	19	15	9	0.0255605636081234	1	1
OG0005668:___Gluconate_5-dehydrogenase	5	22	2	22	0.424727337743608	1	1
OG0011858:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0011525:___hypothetical_protein	1	26	0	24	1	1	1
OG0001585:___Pyruvate_kinase_I	27	0	24	0	1	1	1
OG0007720:___hypothetical_protein	0	27	2	22	0.216470588235294	1	1
OG0006480:___hypothetical_protein	2	25	1	23	1	1	1
OG0003311:___1,5-anhydro-D-fructose_reductase	27	0	23	1	0.470588235294118	1	1
OG0000824:___DNA_gyrase_inhibitor_YacG	27	0	24	0	1	1	1
OG0002653:___ATP-dependent_DNA_helicase_RecG	27	0	24	0	1	1	1
OG0011530:___hypothetical_protein	1	26	0	24	1	1	1
OG0005733:___hypothetical_protein	3	24	4	20	0.693187913463258	1	1
OG0008120:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0004811:___hypothetical_protein	5	22	8	16	0.335788254308011	1	1
OG0011427:___Putative_acyl-CoA_dehydrogenase_AidB	1	26	0	24	1	1	1
OG0009095:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0011766:___HflBKC-binding_inner_membrane_protein	0	27	1	23	0.470588235294118	1	1
OG0002837:___PTS_system_mannose-specific_EIIBCA_component	27	0	24	0	1	1	1
OG0000025:___hypothetical_protein	16	11	19	5	0.145298268733902	1	1
OG0011773:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0008601:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0000289:___D-glycero-beta-D-manno-heptose-1,7-bisphosphate_7-phosphatase	27	0	24	0	1	1	1
OG0005283:___hypothetical_protein	7	20	3	21	0.300429523615483	1	1
OG0002771:___3-ketoacyl-CoA_thiolase	27	0	24	0	1	1	1
OG0006638:___hypothetical_protein	1	26	3	21	0.331428571428571	1	1
OG0009550:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0007139:___Lactose_transport_system_permease_protein_LacG	2	25	1	23	1	1	1
OG0011015:___putative_isomerase_YddE	1	26	0	24	1	1	1
OG0011833:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0011408:___Fatty_acid_hydroxylase_superfamily_protein	1	26	0	24	1	1	1
OG0007497:___hypothetical_protein	1	26	1	23	1	1	1
OG0002848:___Soluble_pyridine_nucleotide_transhydrogenase	27	0	24	0	1	1	1
OG0009881:___hypothetical_protein	0	27	1	23	0.470588235294118	1	1
OG0002708:___Sulfite_reductase_[NADPH]_flavoprotein_alpha-component	27	0	24	0	1	1	1
OG0011785:___SWIM_zinc_finger_protein	0	27	1	23	0.470588235294118	1	1
OG0003861:___Polysialic_acid_transport_protein_KpsD_precursor	23	4	12	12	0.0142236621883259	1	1
OG0004959:___hypothetical_protein	8	19	5	19	0.533919598903633	1	1
OG0009990:___DNA_helicase_IV	0	27	1	23	0.470588235294118	1	1
OG0000640:___Pseudouridine_kinase	27	0	24	0	1	1	1
OG0005559:___hypothetical_protein	3	24	5	19	0.450527445020561	1	1
OG0004390:___hypothetical_protein	11	16	11	13	0.781555625475505	1	1
OG0001496:___Tellurite_methyltransferase	27	0	24	0	1	1	1
OG0007107:___hypothetical_protein	0	27	3	21	0.0971908763505402	1	1
OG0005596:___Invasin	7	20	1	23	0.0527874128374754	1	1
OG0008480:___hypothetical_protein	2	25	0	24	0.491764705882353	1	1
OG0008026:___Anaerobic_dimethyl_sulfoxide_reductase_chain_B	0	27	2	22	0.216470588235294	1	1
OG0005990:___6-phosphogluconate_phosphatase	2	25	3	21	0.656330617353324	1	1
OG0006268:___hypothetical_protein	5	22	0	24	0.0524609843937575	1	1
OG0006950:___bifunctional_3-demethylubiquinone-9_3-methyltransferase/_2-octaprenyl-6-hydroxy_phenol_methylase	1	26	2	22	0.595486194477791	1	1
OG0007939:___hypothetical_protein	0	27	2	22	0.216470588235294	1	1
OG0000040:___hypothetical_protein	27	0	24	0	1	1	1
OG0005219:___hypothetical_protein	5	22	4	20	1	1	1
OG0007819:___RNA_polymerase-associated_protein_RapA	1	26	1	23	1	1	1
OG0007500:___hypothetical_protein	0	27	2	22	0.216470588235294	1	1
OG0008361:___putative_ferredoxin-like_protein_YdhY	2	25	0	24	0.491764705882353	1	1
OG0001627:___hypothetical_protein	27	0	24	0	1	1	1
OG0010570:___hypothetical_protein	1	26	0	24	1	1	1
OG0003947:___hypothetical_protein	15	12	15	9	0.776590980599949	1	1
OG0002828:___50S_ribosomal_protein_L31	27	0	24	0	1	1	1
OG0009712:___Transcriptional_regulatory_protein_DcuR	0	27	1	23	0.470588235294118	1	1
OG0010405:___hypothetical_protein	1	26	0	24	1	1	1
OG0007607:___hypothetical_protein	0	27	2	22	0.216470588235294	1	1
OG0006188:___hypothetical_protein	0	27	3	21	0.0971908763505402	1	1
OG0002335:___Tryptophan-specific_transport_protein	27	0	24	0	1	1	1
