Operon	Gene	Location	Strand	Length	Gene	Synonym	Code	COG	Product	
202 	prok_00505 	558287..558943 	- 	657 	- 	prok_00505 	- 	- 	Methyltransferase domain protein
203 	prok_00506 	559187..560140 	- 	954 	ompT 	prok_00506 	- 	- 	Protease 7 precursor
204 	prok_00507 	560799..561689 	- 	891 	- 	prok_00507 	- 	- 	hypothetical protein
204 	prok_00508 	561690..564662 	- 	2973 	- 	prok_00508 	- 	- 	bacteriophage N4 receptor, outer membrane subunit
204 	prok_00509 	564649..566886 	- 	2238 	- 	prok_00509 	- 	- 	bacteriophage N4 adsorption protein B
204 	prok_00510 	567036..568478 	- 	1443 	cusS 	prok_00510 	- 	- 	Sensor kinase CusS
204 	prok_00511 	568468..569151 	- 	684 	cusR 	prok_00511 	- 	- 	Transcriptional regulatory protein CusR
205 	prok_00512 	569308..570690 	+ 	1383 	cusC 	prok_00512 	- 	- 	Cation efflux system protein CusC precursor
205 	prok_00513 	570714..571046 	+ 	333 	cusF 	prok_00513 	- 	- 	Cation efflux system protein CusF precursor
205 	prok_00514 	571062..572285 	+ 	1224 	cusB 	prok_00514 	- 	- 	Cation efflux system protein CusB precursor
205 	prok_00515 	572297..575440 	+ 	3144 	cusA 	prok_00515 	- 	- 	Cation efflux system protein CusA
205 	prok_00516 	575542..576924 	+ 	1383 	pheP 	prok_00516 	- 	- 	Phenylalanine-specific permease
206 	prok_00517 	577082..578329 	- 	1248 	mscM 	prok_00517 	- 	- 	Miniconductance mechanosensitive channel
206 	prok_00518 	578437..579090 	- 	654 	nfnB 	prok_00518 	- 	- 	Oxygen-insensitive NAD(P)H nitroreductase
206 	prok_00519 	579169..579552 	- 	384 	- 	prok_00519 	- 	- 	hypothetical protein
206 	prok_00520 	579617..579865 	- 	249 	- 	prok_00520 	- 	- 	hypothetical protein
206 	prok_00521 	579931..581049 	- 	1119 	ybdK 	prok_00521 	- 	- 	Carboxylate-amine ligase YbdK
207 	prok_00522 	581108..581236 	+ 	129 	- 	prok_00522 	- 	- 	hypothetical protein
207 	prok_00523 	581402..581653 	+ 	252 	- 	prok_00523 	- 	- 	small toxic polypeptide
208 	prok_00524 	582005..582157 	+ 	153 	- 	prok_00524 	- 	- 	small toxic polypeptide
209 	prok_00525 	582279..583022 	- 	744 	- 	prok_00525 	- 	- 	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex
209 	prok_00526 	583074..585323 	- 	2250 	fepA 	prok_00526 	- 	- 	Enterobactin outer-membrane receptor
210 	prok_00527 	585565..586767 	+ 	1203 	fes 	prok_00527 	- 	- 	Ferric enterobactin esterase
210 	prok_00528 	586770..586988 	+ 	219 	- 	prok_00528 	- 	- 	MbtH-like protein
210 	prok_00529 	586985..590866 	+ 	3882 	entF 	prok_00529 	- 	- 	Enterobactin synthase component F
211 	prok_00530 	591082..592215 	+ 	1134 	fepE 	prok_00530 	- 	- 	Ferric enterobactin transport protein FepE
212 	prok_00531 	592212..593027 	- 	816 	yusV_1 	prok_00531 	- 	- 	putative siderophore transport system ATP-binding protein YusV
212 	prok_00532 	593024..594016 	- 	993 	fepG 	prok_00532 	- 	- 	Ferric enterobactin transport system permease protein FepG
212 	prok_00533 	594013..595017 	- 	1005 	fepD 	prok_00533 	- 	- 	Ferric enterobactin transport system permease protein FepD
213 	prok_00534 	595128..596378 	+ 	1251 	- 	prok_00534 	- 	- 	enterobactin exporter EntS
214 	prok_00535 	596382..597338 	- 	957 	fepB 	prok_00535 	- 	- 	Ferrienterobactin-binding periplasmic protein precursor
215 	prok_00536 	597527..598702 	+ 	1176 	entC 	prok_00536 	- 	- 	Isochorismate synthase EntC
215 	prok_00537 	598712..600322 	+ 	1611 	entE 	prok_00537 	- 	- 	Enterochelin synthase E
215 	prok_00538 	600336..601193 	+ 	858 	entB 	prok_00538 	- 	- 	Isochorismatase
215 	prok_00539 	601193..601939 	+ 	747 	entA 	prok_00539 	- 	- 	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
215 	prok_00540 	601942..602355 	+ 	414 	entH 	prok_00540 	- 	- 	Proofreading thioesterase EntH
216 	prok_00541 	602536..604641 	+ 	2106 	cstA 	prok_00541 	- 	- 	Carbon starvation protein A
216 	prok_00542 	604784..604981 	+ 	198 	- 	prok_00542 	- 	- 	putative small protein
217 	prok_00543 	604991..606079 	- 	1089 	gldA_1 	prok_00543 	- 	- 	Glycerol dehydrogenase
218 	prok_00544 	606188..607348 	+ 	1161 	ybdL 	prok_00544 	- 	- 	Methionine aminotransferase
219 	prok_00545 	607349..607978 	- 	630 	- 	prok_00545 	- 	- 	putative phosphoadenosine phosphosulfate sulfotransferase
219 	prok_00546 	607951..609171 	- 	1221 	- 	prok_00546 	- 	- 	phosphoadenosine phosphosulfate reductase
219 	prok_00547 	609318..610220 	- 	903 	ybdO_1 	prok_00547 	- 	- 	putative HTH-type transcriptional regulator YbdO
220 	prok_00548 	610425..611171 	- 	747 	dsbG 	prok_00548 	- 	- 	Thiol:disulfide interchange protein DsbG precursor
221 	prok_00549 	611543..612106 	+ 	564 	ahpC 	prok_00549 	- 	- 	Alkyl hydroperoxide reductase subunit C
221 	prok_00550 	612247..613842 	+ 	1596 	ahpF 	prok_00550 	- 	- 	Alkyl hydroperoxide reductase subunit F
222 	prok_00551 	613963..614391 	- 	429 	uspG 	prok_00551 	- 	- 	Universal stress protein G
222 	prok_00552 	614515..614604 	- 	90 	- 	prok_00552 	- 	- 	hypothetical protein
222 	prok_00553 	614747..615157 	- 	411 	rnk 	prok_00553 	- 	- 	Regulator of nucleoside diphosphate kinase
223 	prok_00554 	615387..616193 	- 	807 	rna 	prok_00554 	- 	- 	Ribonuclease I precursor
223 	prok_00555 	616307..617770 	- 	1464 	citT_1 	prok_00555 	- 	- 	Citrate/succinate antiporter
223 	prok_00556 	617821..618699 	- 	879 	citG 	prok_00556 	- 	- 	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
223 	prok_00557 	618674..619225 	- 	552 	citX 	prok_00557 	- 	- 	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
223 	prok_00558 	619229..620761 	- 	1533 	citF 	prok_00558 	- 	- 	Citrate lyase alpha chain
223 	prok_00559 	620772..621680 	- 	909 	citE 	prok_00559 	- 	- 	Citrate lyase subunit beta
223 	prok_00560 	621677..621973 	- 	297 	citD 	prok_00560 	- 	- 	Citrate lyase gamma chain
223 	prok_00561 	621988..623046 	- 	1059 	citC 	prok_00561 	- 	- 	[Citrate [pro-3S]-lyase] ligase
224 	prok_00562 	623424..625082 	+ 	1659 	dpiB 	prok_00562 	- 	- 	Sensor histidine kinase DpiB
224 	prok_00563 	625051..625731 	+ 	681 	dpiA 	prok_00563 	- 	- 	Destabilizer of plasmid inheritance
225 	prok_00564 	625772..627157 	- 	1386 	dcuD 	prok_00564 	- 	- 	Putative cryptic C4-dicarboxylate transporter DcuD
226 	prok_00565 	627744..628304 	+ 	561 	pagP 	prok_00565 	- 	- 	Lipid A palmitoyltransferase PagP precursor
226 	prok_00566 	628479..628688 	+ 	210 	cspE 	prok_00566 	- 	- 	Cold shock-like protein CspE
227 	prok_00567 	628742..629125 	- 	384 	- 	prok_00567 	- 	- 	chromosome condensation membrane protein
228 	prok_00568 	629218..630006 	+ 	789 	- 	prok_00568 	- 	- 	N-carbamoyl-D-amino acid hydrolase
228 	prok_00569 	630135..630338 	+ 	204 	tatE 	prok_00569 	- 	- 	Sec-independent protein translocase protein TatE
229 	prok_00570 	630438..631403 	- 	966 	lipA 	prok_00570 	- 	- 	Lipoyl synthase
230 	prok_00571 	631635..632027 	- 	393 	ybdO_2 	prok_00571 	- 	- 	putative HTH-type transcriptional regulator YbdO
231 	prok_00572 	632427..633068 	- 	642 	lipB 	prok_00572 	- 	- 	Octanoyltransferase
231 	prok_00573 	633169..633432 	- 	264 	- 	prok_00573 	- 	- 	hypothetical protein
231 	prok_00574 	633542..634753 	- 	1212 	dacA 	prok_00574 	- 	- 	D-alanyl-D-alanine carboxypeptidase DacA precursor
231 	prok_00575 	634893..635981 	- 	1089 	rlpA 	prok_00575 	- 	- 	Rare lipoprotein A precursor
231 	prok_00576 	635992..637104 	- 	1113 	mrdB 	prok_00576 	- 	- 	Rod shape-determining protein RodA
231 	prok_00577 	637107..639008 	- 	1902 	spoVD 	prok_00577 	- 	- 	Sporulation-specific penicillin-binding protein
231 	prok_00578 	639039..639506 	- 	468 	rlmH 	prok_00578 	- 	- 	Ribosomal RNA large subunit methyltransferase H
231 	prok_00579 	639510..639827 	- 	318 	rsfS 	prok_00579 	- 	- 	Ribosomal silencing factor RsfS
232 	prok_00580 	640087..640698 	- 	612 	cobC 	prok_00580 	- 	- 	Alpha-ribazole phosphatase
232 	prok_00581 	640722..641363 	- 	642 	nadD 	prok_00581 	- 	- 	Nicotinate-nucleotide adenylyltransferase
232 	prok_00582 	641365..642396 	- 	1032 	holA 	prok_00582 	- 	- 	DNA polymerase III subunit delta
232 	prok_00583 	642396..642977 	- 	582 	lptE 	prok_00583 	- 	- 	Rare lipoprotein B
232 	prok_00584 	642992..645574 	- 	2583 	leuS 	prok_00584 	- 	- 	Leucine--tRNA ligase
233 	prok_00585 	645809..646291 	+ 	483 	- 	prok_00585 	- 	- 	hypothetical protein
234 	prok_00586 	646336..647271 	- 	936 	rihA 	prok_00586 	- 	- 	Pyrimidine-specific ribonucleoside hydrolase RihA
234 	prok_00587 	647389..648114 	- 	726 	glnQ_1 	prok_00587 	- 	- 	Glutamine transport ATP-binding protein GlnQ
234 	prok_00588 	648114..648788 	- 	675 	gltK 	prok_00588 	- 	- 	Glutamate/aspartate transport system permease protein GltK
234 	prok_00589 	648788..649528 	- 	741 	glnM_1 	prok_00589 	- 	- 	putative glutamine ABC transporter permease protein GlnM
234 	prok_00590 	649698..650606 	- 	909 	gltI 	prok_00590 	- 	- 	Glutamate/aspartate periplasmic-binding protein precursor
235 	prok_00591 	651060..652937 	+ 	1878 	aarA 	prok_00591 	- 	- 	Rhomboid protease AarA
236 	prok_00592 	653064..654602 	- 	1539 	lnt 	prok_00592 	- 	- 	Apolipoprotein N-acyltransferase
236 	prok_00593 	654627..655505 	- 	879 	corC_1 	prok_00593 	- 	- 	Magnesium and cobalt efflux protein CorC
236 	prok_00594 	655595..656062 	- 	468 	ybeY 	prok_00594 	- 	- 	Endoribonuclease YbeY
236 	prok_00595 	656059..657138 	- 	1080 	ybeZ 	prok_00595 	- 	- 	PhoH-like protein
236 	prok_00596 	657252..658676 	- 	1425 	miaB 	prok_00596 	- 	- 	(Dimethylallyl)adenosine tRNA methylthiotransferase MiaB
237 	prok_00597 	658822..659997 	+ 	1176 	ubiF_1 	prok_00597 	- 	- 	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
238 	prok_00605 	661236..662900 	- 	1665 	asnB 	prok_00605 	- 	- 	Asparagine synthetase B [glutamine-hydrolyzing]
239 	prok_00606 	663156..663908 	- 	753 	nagD 	prok_00606 	- 	- 	Ribonucleotide monophosphatase NagD
239 	prok_00607 	663956..665176 	- 	1221 	nagC 	prok_00607 	- 	- 	N-acetylglucosamine repressor
239 	prok_00608 	665185..666333 	- 	1149 	nagA_1 	prok_00608 	- 	- 	N-acetylglucosamine-6-phosphate deacetylase
239 	prok_00609 	666393..667193 	- 	801 	nagB_1 	prok_00609 	- 	- 	Glucosamine-6-phosphate deaminase
240 	prok_00610 	667526..669472 	+ 	1947 	ptsG_1 	prok_00610 	- 	- 	EIICBA-Glc
241 	prok_00611 	669561..670841 	- 	1281 	- 	prok_00611 	- 	- 	transporter, divalent anion:Na+ symporter (DASS) family
241 	prok_00612 	670855..671325 	- 	471 	tabA_1 	prok_00612 	- 	- 	Toxin-antitoxin biofilm protein TabA
241 	prok_00613 	671322..672491 	- 	1170 	- 	prok_00613 	- 	- 	putative neuraminidase (sialidase)
241 	prok_00614 	672527..673285 	- 	759 	- 	prok_00614 	- 	- 	integral membrane protein, YkoY family
241 	prok_00615 	673345..674232 	- 	888 	dapA_1 	prok_00615 	- 	- 	4-hydroxy-tetrahydrodipicolinate synthase
241 	prok_00616 	674236..675393 	- 	1158 	gbsB 	prok_00616 	- 	- 	Alcohol dehydrogenase
242 	prok_00617 	675563..676798 	+ 	1236 	- 	prok_00617 	- 	- 	hypothetical protein
242 	prok_00618 	676791..677777 	+ 	987 	pdxA2 	prok_00618 	- 	- 	4-hydroxythreonine-4-phosphate dehydrogenase 2
242 	prok_00619 	677779..678540 	+ 	762 	glcR_1 	prok_00619 	- 	- 	HTH-type transcriptional repressor GlcR
243 	prok_00620 	678760..680424 	+ 	1665 	glnS 	prok_00620 	- 	- 	Glutamine--tRNA ligase
244 	prok_00621 	680866..682272 	+ 	1407 	chiP 	prok_00621 	- 	- 	ChiP-III
244 	prok_00622 	682322..682648 	+ 	327 	chiQ 	prok_00622 	- 	- 	putative lipoprotein ChiQ precursor
245 	prok_00623 	682732..683178 	- 	447 	fur 	prok_00623 	- 	- 	Ferric uptake regulation protein
246 	prok_00624 	683467..683997 	- 	531 	fldA 	prok_00624 	- 	- 	Flavodoxin-1
246 	prok_00625 	684137..684499 	- 	363 	- 	prok_00625 	- 	- 	LexA regulated protein
246 	prok_00626 	684570..685334 	- 	765 	ybfF 	prok_00626 	- 	- 	Esterase YbfF
247 	prok_00627 	685519..686064 	+ 	546 	seqA 	prok_00627 	- 	- 	Negative modulator of initiation of replication
247 	prok_00628 	686090..687730 	+ 	1641 	pgm 	prok_00628 	- 	- 	Phosphoglucomutase
248 	prok_00629 	687787..689106 	- 	1320 	potE 	prok_00629 	- 	- 	Putrescine transport protein
248 	prok_00630 	689103..691301 	- 	2199 	speF 	prok_00630 	- 	- 	Ornithine decarboxylase, inducible
249 	prok_00631 	691990..692667 	- 	678 	kdpE 	prok_00631 	- 	- 	KDP operon transcriptional regulatory protein KdpE
249 	prok_00632 	692664..695348 	- 	2685 	kdpD 	prok_00632 	- 	- 	Sensor protein KdpD
249 	prok_00633 	695341..695913 	- 	573 	kdpC 	prok_00633 	- 	- 	Potassium-transporting ATPase C chain
249 	prok_00634 	695922..697970 	- 	2049 	kdpB 	prok_00634 	- 	- 	Potassium-transporting ATPase B chain
249 	prok_00635 	697993..699666 	- 	1674 	kdpA 	prok_00635 	- 	- 	Potassium-transporting ATPase A chain
250 	prok_00636 	700068..700274 	+ 	207 	- 	prok_00636 	- 	- 	hypothetical protein
250 	prok_00637 	700375..700884 	+ 	510 	- 	prok_00637 	- 	- 	hypothetical protein
250 	prok_00638 	700881..702299 	+ 	1419 	phrB 	prok_00638 	- 	- 	Deoxyribodipyrimidine photo-lyase
251 	prok_00639 	702341..703822 	- 	1482 	dtpD 	prok_00639 	- 	- 	Dipeptide permease D
252 	prok_00640 	704093..704836 	+ 	744 	- 	prok_00640 	- 	- 	metal-binding protein
252 	prok_00641 	704859..705515 	+ 	657 	kipI 	prok_00641 	- 	- 	Sporulation inhibitor KipI
252 	prok_00642 	705509..706441 	+ 	933 	kipA 	prok_00642 	- 	- 	KipI antagonist
252 	prok_00643 	706431..707165 	+ 	735 	- 	prok_00643 	- 	- 	LamB/YcsF family protein
252 	prok_00644 	707201..707992 	+ 	792 	nei 	prok_00644 	- 	- 	DNA glycosylase/AP lyase Nei
253 	prok_00645 	707989..709035 	- 	1047 	- 	prok_00645 	- 	- 	membrane protein AbrB duplication
254 	prok_00646 	709319..709561 	- 	243 	- 	prok_00646 	- 	- 	hypothetical protein
254 	prok_00647 	709709..710992 	- 	1284 	gltA 	prok_00647 	- 	- 	Citrate synthase
255 	prok_00648 	711686..712090 	+ 	405 	sdhC 	prok_00648 	- 	- 	Succinate dehydrogenase cytochrome b556 subunit
255 	prok_00649 	712084..712431 	+ 	348 	sdhD 	prok_00649 	- 	- 	Succinate dehydrogenase hydrophobic membrane anchor subunit
255 	prok_00650 	712431..714197 	+ 	1767 	sdhA 	prok_00650 	- 	- 	Succinate dehydrogenase flavoprotein subunit
255 	prok_00651 	714213..714929 	+ 	717 	sdhB 	prok_00651 	- 	- 	Succinate dehydrogenase iron-sulfur subunit
256 	prok_00652 	715480..718281 	+ 	2802 	sucA_1 	prok_00652 	- 	- 	2-oxoglutarate dehydrogenase E1 component
256 	prok_00653 	718296..719513 	+ 	1218 	sucB_1 	prok_00653 	- 	- 	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
257 	prok_00654 	719775..720941 	+ 	1167 	sucC_1 	prok_00654 	- 	- 	Succinyl-CoA ligase [ADP-forming] subunit beta
257 	prok_00655 	720941..721810 	+ 	870 	sucD_2 	prok_00655 	- 	- 	Succinyl-CoA ligase [ADP-forming] subunit alpha
258 	prok_00656 	722050..723165 	+ 	1116 	- 	prok_00656 	- 	- 	putative O-linked N-acetylglucosamine transferase, SPINDLY family
258 	prok_00657 	723119..723391 	+ 	273 	- 	prok_00657 	- 	- 	hypothetical protein
259 	prok_00658 	724494..726062 	+ 	1569 	cydA 	prok_00658 	- 	- 	Cytochrome d ubiquinol oxidase subunit 1
259 	prok_00659 	726078..727217 	+ 	1140 	cydB 	prok_00659 	- 	- 	Cytochrome d ubiquinol oxidase subunit 2
259 	prok_00660 	727232..727345 	+ 	114 	- 	prok_00660 	- 	- 	cyd operon protein YbgT
259 	prok_00661 	727345..727638 	+ 	294 	- 	prok_00661 	- 	- 	cyd operon protein YbgE
259 	prok_00662 	727788..728192 	+ 	405 	ybgC 	prok_00662 	- 	- 	Acyl-CoA thioester hydrolase YbgC
259 	prok_00663 	728189..728881 	+ 	693 	exbB_1 	prok_00663 	- 	- 	Biopolymer transport protein ExbB
259 	prok_00664 	728885..729313 	+ 	429 	exbD_1 	prok_00664 	- 	- 	Biopolymer transport protein ExbD
259 	prok_00665 	729378..730643 	+ 	1266 	- 	prok_00665 	- 	- 	cell envelope integrity inner membrane protein TolA
259 	prok_00666 	730776..732068 	+ 	1293 	- 	prok_00666 	- 	- 	translocation protein TolB
259 	prok_00667 	732103..732624 	+ 	522 	pal 	prok_00667 	- 	- 	Peptidoglycan-associated lipoprotein precursor
259 	prok_00668 	732634..733425 	+ 	792 	- 	prok_00668 	- 	- 	tol-pal system protein YbgF
260 	prok_00676 	734571..735614 	+ 	1044 	nadA 	prok_00676 	- 	- 	Quinolinate synthase A
260 	prok_00677 	735652..736371 	+ 	720 	pnuC 	prok_00677 	- 	- 	Nicotinamide riboside transporter PnuC
261 	prok_00678 	736368..737309 	- 	942 	zitB 	prok_00678 	- 	- 	Zinc transporter ZitB
261 	prok_00679 	737423..737803 	- 	381 	- 	prok_00679 	- 	- 	hypothetical protein
262 	prok_00680 	738119..739171 	+ 	1053 	aroG_1 	prok_00680 	- 	- 	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
263 	prok_00681 	739337..740089 	- 	753 	gpmA 	prok_00681 	- 	- 	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
264 	prok_00682 	740292..741332 	- 	1041 	galM 	prok_00682 	- 	- 	Aldose 1-epimerase
264 	prok_00683 	741326..742474 	- 	1149 	galK 	prok_00683 	- 	- 	Galactokinase
264 	prok_00684 	742478..743524 	- 	1047 	galT 	prok_00684 	- 	- 	Galactose-1-phosphate uridylyltransferase
264 	prok_00685 	743534..744550 	- 	1017 	galE 	prok_00685 	- 	- 	UDP-glucose 4-epimerase
265 	prok_00686 	744811..746283 	- 	1473 	ylmA 	prok_00686 	- 	- 	putative ABC transporter ATP-binding protein YlmA
265 	prok_00687 	746351..747139 	- 	789 	modE 	prok_00687 	- 	- 	Transcriptional regulator ModE
266 	prok_00688 	747268..747417 	+ 	150 	ybhT 	prok_00688 	- 	- 	putative membrane protein YbhT
266 	prok_00689 	747580..748353 	+ 	774 	modA 	prok_00689 	- 	- 	Molybdate-binding periplasmic protein precursor
266 	prok_00690 	748353..749042 	+ 	690 	modB 	prok_00690 	- 	- 	Molybdenum transport system permease protein ModB
266 	prok_00691 	749045..750103 	+ 	1059 	cysA_1 	prok_00691 	- 	- 	Sulfate/thiosulfate import ATP-binding protein CysA
267 	prok_00692 	750104..750922 	- 	819 	ybhA_1 	prok_00692 	- 	- 	Pyridoxal phosphate phosphatase YbhA
268 	prok_00693 	751077..752072 	+ 	996 	pgl 	prok_00693 	- 	- 	6-phosphogluconolactonase
269 	prok_00694 	752113..753066 	- 	954 	oxyR_1 	prok_00694 	- 	- 	Morphology and auto-aggregation control protein
270 	prok_00695 	753250..754302 	+ 	1053 	galD 	prok_00695 	- 	- 	4-oxalomesaconate tautomerase
270 	prok_00696 	754378..755811 	+ 	1434 	ybhI 	prok_00696 	- 	- 	Inner membrane protein YbhI
271 	prok_00697 	755994..758255 	+ 	2262 	dmdA 	prok_00697 	- 	- 	2,3-dimethylmalate dehydratase large subunit
272 	prok_00698 	758395..759678 	- 	1284 	ybhC 	prok_00698 	- 	- 	Putative acyl-CoA thioester hydrolase YbhC precursor
272 	prok_00699 	759830..760306 	- 	477 	- 	prok_00699 	- 	- 	putative kinase inhibitor protein
273 	prok_00700 	760415..761545 	+ 	1131 	- 	prok_00700 	- 	- 	putative transposase
274 	prok_00701 	761656..762945 	- 	1290 	bioA 	prok_00701 	- 	- 	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
275 	prok_00702 	763032..764072 	+ 	1041 	bioB 	prok_00702 	- 	- 	Biotin synthase
275 	prok_00703 	764069..765223 	+ 	1155 	bioF_1 	prok_00703 	- 	- 	8-amino-7-oxononanoate synthase
275 	prok_00704 	765210..765965 	+ 	756 	bioC 	prok_00704 	- 	- 	Malonyl-CoA O-methyltransferase BioC
275 	prok_00705 	765958..766635 	+ 	678 	bioD1_1 	prok_00705 	- 	- 	ATP-dependent dethiobiotin synthetase BioD 1
276 	prok_00706 	767214..769235 	+ 	2022 	uvrB 	prok_00706 	- 	- 	Excinuclease ABC subunit B
277 	prok_00707 	769273..770181 	- 	909 	- 	prok_00707 	- 	- 	LPPG:FO 2-phospho-L-lactate transferase
278 	prok_00708 	770578..771567 	+ 	990 	moaA 	prok_00708 	- 	- 	Cyclic pyranopterin monophosphate synthase
278 	prok_00709 	771589..772101 	+ 	513 	moaB 	prok_00709 	- 	- 	Molybdenum cofactor biosynthesis protein B
278 	prok_00710 	772104..772589 	+ 	486 	moaC 	prok_00710 	- 	- 	Molybdenum cofactor biosynthesis protein C
278 	prok_00711 	772582..772827 	+ 	246 	moaD 	prok_00711 	- 	- 	Sulfur carrier protein MoaD
278 	prok_00712 	772829..773281 	+ 	453 	moaE 	prok_00712 	- 	- 	Molybdopterin synthase catalytic subunit
278 	prok_00713 	773418..774122 	+ 	705 	ybhL_1 	prok_00713 	- 	- 	Inner membrane protein YbhL
279 	prok_00714 	774327..775040 	+ 	714 	ybhL_2 	prok_00714 	- 	- 	Inner membrane protein YbhL
280 	prok_00715 	775076..776032 	- 	957 	ybhN 	prok_00715 	- 	- 	Inner membrane protein YbhN
280 	prok_00716 	776032..777273 	- 	1242 	ybhO_1 	prok_00716 	- 	- 	Putative cardiolipin synthase YbhO
280 	prok_00717 	777270..778031 	- 	762 	- 	prok_00717 	- 	- 	Endonuclease/Exonuclease/phosphatase family protein
281 	prok_00718 	778164..778574 	+ 	411 	ybhQ 	prok_00718 	- 	- 	Inner membrane protein YbhQ
282 	prok_00719 	778536..779642 	- 	1107 	ybhR 	prok_00719 	- 	- 	Inner membrane transport permease YbhR
282 	prok_00720 	779653..780786 	- 	1134 	ybhS 	prok_00720 	- 	- 	Inner membrane transport permease YbhS
282 	prok_00721 	780779..782515 	- 	1737 	ybhF_1 	prok_00721 	- 	- 	putative ABC transporter ATP-binding protein YbhF
282 	prok_00722 	782508..783503 	- 	996 	macA_1 	prok_00722 	- 	- 	Macrolide-specific efflux protein MacA precursor
282 	prok_00723 	783506..784177 	- 	672 	- 	prok_00723 	- 	- 	putative DNA-binding transcriptional regulator
283 	prok_00724 	784406..785767 	+ 	1362 	rhlE 	prok_00724 	- 	- 	ATP-dependent RNA helicase RhlE
284 	prok_00725 	786000..786197 	- 	198 	ybiA 	prok_00725 	- 	- 	Swarming motility protein YbiA
285 	prok_00726 	786304..788454 	+ 	2151 	dinG_1 	prok_00726 	- 	- 	putative ATP-dependent helicase DinG
285 	prok_00727 	788482..789444 	+ 	963 	trpD2 	prok_00727 	- 	- 	Anthranilate phosphoribosyltransferase 2
285 	prok_00728 	789585..790670 	+ 	1086 	ybiC 	prok_00728 	- 	- 	putative oxidoreductase YbiC
286 	prok_00729 	790899..791159 	- 	261 	bhsA_2 	prok_00729 	- 	- 	Copper-induced outer membrane component
287 	prok_00730 	791424..791690 	- 	267 	- 	prok_00730 	- 	- 	DksA-like zinc finger domain containing protein
287 	prok_00731 	791764..792438 	- 	675 	- 	prok_00731 	- 	- 	PKHD-type hydroxylase
288 	prok_00732 	792657..794939 	- 	2283 	fiu 	prok_00732 	- 	- 	TonB-dependent receptor Fiu
289 	prok_00733 	795204..795464 	- 	261 	mcbA 	prok_00733 	- 	- 	MqsR-controlled colanic acid and biofilm protein A
290 	prok_00734 	795740..796666 	+ 	927 	rlmF 	prok_00734 	- 	- 	Ribosomal RNA large subunit methyltransferase F
291 	prok_00735 	796663..798888 	- 	2226 	ykuT 	prok_00735 	- 	- 	putative MscS family protein YkuT
291 	prok_00736 	799006..799728 	- 	723 	glnQ_2 	prok_00736 	- 	- 	Glutamine transport ATP-binding protein GlnQ
291 	prok_00737 	799725..800384 	- 	660 	glnP 	prok_00737 	- 	- 	Glutamine transport system permease protein GlnP
291 	prok_00738 	800523..801269 	- 	747 	glnH 	prok_00738 	- 	- 	Glutamine-binding periplasmic protein precursor
292 	prok_00739 	801673..802176 	- 	504 	dps 	prok_00739 	- 	- 	DNA protection during starvation protein
293 	prok_00740 	802475..803362 	- 	888 	rhtA 	prok_00740 	- 	- 	Inner membrane transporter RhtA
294 	prok_00741 	803715..804230 	+ 	516 	ompX 	prok_00741 	- 	- 	Outer membrane protein X precursor
295 	prok_00742 	804279..805862 	- 	1584 	ybiP 	prok_00742 	- 	- 	Putative phosphoethanolamine transferase YbiP
296 	prok_00743 	806134..806262 	- 	129 	mntS 	prok_00743 	- 	- 	Small protein MntS
297 	prok_00744 	806448..806915 	+ 	468 	mntR 	prok_00744 	- 	- 	Manganese transport regulator
297 	prok_00745 	806912..808030 	+ 	1119 	ybiR 	prok_00745 	- 	- 	Inner membrane protein YbiR
298 	prok_00746 	808088..809008 	- 	921 	ybiS 	prok_00746 	- 	- 	putative L,D-transpeptidase YbiS precursor
299 	prok_00747 	809227..810819 	+ 	1593 	yheS_1 	prok_00747 	- 	- 	putative ABC transporter ATP-binding protein YheS
300 	prok_00748 	811019..811834 	- 	816 	ybiV 	prok_00748 	- 	- 	Sugar phosphatase YbiV
300 	prok_00749 	811980..814412 	- 	2433 	bssA 	prok_00749 	- 	- 	Benzylsuccinate synthase alpha subunit
300 	prok_00750 	814418..815317 	- 	900 	bssD_1 	prok_00750 	- 	- 	Benzylsuccinate synthase activating enzyme
301 	prok_00751 	815448..816110 	+ 	663 	fsaA 	prok_00751 	- 	- 	Fructose-6-phosphate aldolase 1
302 	prok_00752 	816186..816935 	- 	750 	moeB_1 	prok_00752 	- 	- 	Molybdopterin-synthase adenylyltransferase
302 	prok_00753 	816935..818170 	- 	1236 	moeA 	prok_00753 	- 	- 	Molybdopterin molybdenumtransferase
303 	prok_00754 	818374..819339 	+ 	966 	iaaA 	prok_00754 	- 	- 	Isoaspartyl peptidase precursor
303 	prok_00755 	819326..821197 	+ 	1872 	gsiA_1 	prok_00755 	- 	- 	Glutathione import ATP-binding protein GsiA
303 	prok_00756 	821217..822755 	+ 	1539 	gsiB 	prok_00756 	- 	- 	Glutathione-binding protein GsiB precursor
